cfg_id,phase,symbol,return_pct,pf,dd,calmar,trades,hit,halted,params
0,train,SOL/USD,164.92,1.904,-6.96,263.733,588,79.1,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
0,train,ETH/USD,142.61,1.986,-6.64,208.001,533,79.7,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
0,train,AVAX/USD,96.34,1.577,-12.99,52.234,558,77.6,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
0,train,LINK/USD,153.69,2.041,-8.45,188.976,547,79.3,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
0,train,XRP/USD,121.5,1.694,-11.44,89.494,557,76.8,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
1,train,SOL/USD,161.83,1.89,-6.96,253.97,589,78.9,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
1,train,ETH/USD,138.05,1.958,-8.65,150.043,534,79.6,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
1,train,AVAX/USD,91.61,1.553,-12.99,47.95,559,77.5,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
1,train,LINK/USD,147.0,2.0,-8.45,173.299,547,79.3,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
1,train,XRP/USD,117.91,1.678,-11.44,84.723,558,76.7,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
2,train,SOL/USD,172.01,1.874,-10.1,197.906,493,69.6,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
2,train,ETH/USD,181.64,2.092,-8.0,279.073,438,73.5,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
2,train,AVAX/USD,94.61,1.529,-21.64,30.399,464,68.8,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
2,train,LINK/USD,179.98,2.068,-9.5,230.581,453,72.8,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
2,train,XRP/USD,143.06,1.753,-12.02,115.673,481,70.1,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
3,train,SOL/USD,168.74,1.861,-10.1,190.395,494,69.4,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
